"yyyy","mm","day","HH_UTC","MM","zm","d","z0","u_mean","L","sigma_v","u_star","wind_dir"
2021,8,10,6,0,1.84,0.0067,-999,1.89417,-385.205,0.707638325700354,0.180234,223.065
2021,8,10,6,30,1.84,0.0067,-999,2.21642,-305.38,0.697078905146326,0.215358,215.251
2021,8,10,7,0,1.84,0.0067,-999,1.87677,-93.6554,0.574918255058926,0.204325,213.159
2021,8,10,7,30,1.84,0.0067,-999,2.16633,-32.1626,0.666068314814629,0.184823,222.259
2021,8,10,8,0,1.84,0.0067,-999,2.30714,-45.6939,0.733854890288264,0.274921,221.759
2021,8,10,8,30,1.84,0.0067,-999,2.65994,-48.5549,0.995459190524654,0.27055,224.814
2021,8,10,9,0,1.84,0.0067,-999,3.11438,-40.2612,1.08594659168856,0.292786,239.244
2021,8,10,9,30,1.84,0.0067,-999,3.18839,-29.1472,1.32497924512047,0.278478,239.78
2021,8,10,10,0,1.84,0.0067,-999,3.49534,-45.8834,1.3610216750662,0.329117,243.989
2021,8,10,10,30,1.84,0.0067,-999,3.3476,-28.8713,1.109337640216,0.293949,249.623
2021,8,10,11,0,1.84,0.0067,-999,3.43868,-14.4182,1.21384513015458,0.264578,251.853
2021,8,10,11,30,1.84,0.0067,-999,3.94669,-29.5166,1.26066649039308,0.331392,253.924
2021,8,10,12,0,1.84,0.0067,-999,3.61723,-23.8928,1.11149898785379,0.29812,248.693
2021,8,10,12,30,1.84,0.0067,-999,3.41522,-31.7461,1.41179318598724,0.321044,238.92
2021,8,10,13,0,1.84,0.0067,-999,3.33012,-34.0326,1.50557630162008,0.340706,240.92
2021,8,10,13,30,1.84,0.0067,-999,3.17648,-23.0112,1.53975647425169,0.297455,248.954
2021,8,10,14,0,1.84,0.0067,-999,3.60775,-24.9408,1.54096073927923,0.345319,234.62
2021,8,10,14,30,1.84,0.0067,-999,3.3744,-32.9312,1.20498547709091,0.3116,242.993
2021,8,10,15,0,1.84,0.0067,-999,2.91486,-17.3039,1.33683955656616,0.274366,258.231
2021,8,10,15,30,1.84,0.0067,-999,3.30881,-37.1285,1.45343730514942,0.31156,255.111
2021,8,10,16,0,1.84,0.0067,-999,3.26432,-33.6056,1.24110837560626,0.28584,236.913
2021,8,10,16,30,1.84,0.0067,-999,3.32689,-51.6928,1.48742394763564,0.318428,246.292
2021,8,10,17,0,1.84,0.0067,-999,3.20165,-111.604,1.06823218449923,0.297407,246.481
2021,8,10,17,30,1.84,0.0067,-999,2.50712,-32.3258,0.80045362139227,0.244678,238.73
2021,8,10,18,0,1.84,0.0067,-999,2.12803,-30.7796,0.770898826046583,0.222036,235.668
2021,8,10,18,30,1.84,0.0067,-999,2.03237,-24.3173,0.666249202626164,0.203504,245.122
2021,8,10,19,0,1.84,0.0067,-999,2.1144,-29.603,0.740661191098872,0.210688,246.046
2021,8,10,19,30,1.84,0.0067,-999,2.25133,-30.2119,0.67300445763754,0.202415,254.792
2021,8,10,20,0,1.84,0.0067,-999,1.49302,-27.2399,0.557160659056255,0.169709,229.425
2021,8,10,20,30,1.84,0.0067,-999,1.223,-16.633,0.372804238173334,0.113802,214.092
2021,8,10,21,0,1.84,0.0067,-999,1.27424,-29.4084,0.304976228581836,0.128311,218.335
2021,8,10,21,30,1.84,0.0067,-999,1.02825,-27.4213,0.331522246614009,0.116644,218.238
2021,8,10,22,0,1.84,0.0067,-999,0.748902,-16.2098,0.311050317472913,0.100648,227.406
2021,8,10,22,30,1.84,0.0067,-999,0.986561,-46.749,0.371160342709185,-999,219.878
2021,8,10,23,0,1.84,0.0067,-999,1.33366,-34.4577,0.388946011677713,0.131902,257.822
2021,8,10,23,30,1.84,0.0067,-999,1.05463,-54.9597,0.395059489191185,0.143644,246.783
2021,8,11,0,0,1.84,0.0067,-999,0.985816,-15.7885,0.245401100242032,-999,239.153
2021,8,11,0,30,1.84,0.0067,-999,0.762334,-26.6566,0.341383948070204,0.106646,242.083
2021,8,11,1,0,1.84,0.0067,-999,0.864295,-24.399,0.277705959604759,0.111492,221.117
2021,8,11,1,30,1.84,0.0067,-999,0.960384,-9.38257,0.302923917840767,-999,235.403
2021,8,11,2,0,1.84,0.0067,-999,0.848367,-16.4536,0.257382400330714,-999,224.03
2021,8,11,2,30,1.84,0.0067,-999,0.774137,-31.6151,0.250792344380765,0.115173,227.965
2021,8,11,3,0,1.84,0.0067,-999,0.724728,-28.9094,0.277799028076054,0.106971,236.979
2021,8,11,3,30,1.84,0.0067,-999,0.663982,-27.5489,0.214378870227455,-999,219.302
2021,8,11,4,0,1.84,0.0067,-999,0.795664,-11.5792,0.340445296633688,-999,243.568
2021,8,11,4,30,1.84,0.0067,-999,0.803748,-10.6114,0.30848630439616,-999,235.801
2021,8,11,5,0,1.84,0.0067,-999,1.07408,-10.0367,0.275595174123206,-999,217.66
2021,8,11,5,30,1.84,0.0067,-999,1.23595,-24.0991,0.451904857243203,0.142548,237.076
2021,8,11,6,0,1.84,0.0067,-999,1.29711,-16.3322,0.537840124944207,0.143534,236.407
2021,8,11,6,30,1.84,0.0067,-999,1.1436,-10.2954,0.433488177462777,0.112648,217.122
2021,8,11,7,0,1.84,0.0067,-999,1.21032,-7.02456,0.330443641185604,0.108146,212.691
2021,8,11,7,30,1.84,0.0067,-999,1.18215,-13.677,0.600742873449199,0.139691,228.495
2021,8,11,8,0,1.84,0.0067,-999,1.03198,-3.23883,0.558578553114958,0.101162,236.711
2021,8,11,8,30,1.84,0.0067,-999,0.879482,-4.4865,0.550686843859557,0.136258,194.956
