"yyyy","mm","day","HH_UTC","MM","zm","d","z0","u_mean","L","sigma_v","u_star","wind_dir"
2021,7,24,2,0,1.84,0.0067,-999,-0.651123,-54.3969,0.413250529340254,0.195809,65.7569
2021,7,24,2,30,1.84,0.0067,-999,-0.709339,-41.1925,0.476819672412957,0.190403,58.1827
2021,7,24,3,0,1.84,0.0067,-999,-0.6238,-34.8495,0.446091918779079,0.178107,61.13
2021,7,24,3,30,1.84,0.0067,-999,-0.611425,-41.4591,0.401471045033138,0.175524,60.5458
2021,7,24,4,0,1.84,0.0067,-999,-0.817113,-26.9016,0.387669962726028,0.151545,49.3598
2021,7,24,4,30,1.84,0.0067,-999,-0.739066,-31.895,0.388095349108953,0.159798,56.9292
2021,7,24,5,0,1.84,0.0067,-999,-0.448207,-87.0817,0.370191842157549,0.184096,70.1841
2021,7,24,5,30,1.84,0.0067,-999,-0.573713,-62.7624,0.400800449101545,0.180933,65.5
2021,7,24,6,0,1.84,0.0067,-999,-0.608835,-37.8327,0.451063188478067,0.180476,65.2223
2021,7,24,6,30,1.84,0.0067,-999,-0.560369,-55.4426,0.402883357809677,0.192213,67.1492
2021,7,24,7,0,1.84,0.0067,-999,-0.440771,-14.1833,0.426833691266282,0.148706,72.8464
2021,7,24,7,30,1.84,0.0067,-999,-0.673362,-46.6877,0.515022329612998,0.242525,66.6816
2021,7,24,8,0,1.84,0.0067,-999,-0.615243,-33.7905,0.533260724224089,0.220869,71.0692
2021,7,24,8,30,1.84,0.0067,-999,-0.2791,-16.1105,0.630448253229399,0.204584,82.3116
2021,7,24,9,0,1.84,0.0067,-999,-0.0849947,-22.9587,0.916001091702406,0.276317,89.7133
2021,7,24,9,30,1.84,0.0067,-999,0.544996,-5.73392,0.861896165439898,0.172397,106.303
2021,7,24,10,0,1.84,0.0067,-999,0.022269,-16.1306,0.927507951448396,0.255044,91.8019
2021,7,24,10,30,1.84,0.0067,-999,-0.391781,-10.0162,0.826181578104959,0.237746,80.79
2021,7,24,11,0,1.84,0.0067,-999,-0.501577,-32.5963,0.920130968938661,0.329925,77.1864
2021,7,24,11,30,1.84,0.0067,-999,-0.276607,-26.2654,0.98026527022026,0.340465,85.0409
2021,7,24,12,0,1.84,0.0067,-999,-0.411217,-17.1127,0.997134895588355,0.314998,82.3573
2021,7,24,12,30,1.84,0.0067,-999,-0.989415,-21.556,0.835905497050953,0.33986,66.7397
2021,7,24,13,0,1.84,0.0067,-999,-0.888119,-13.4721,0.9501436733463,0.273751,68.6656
2021,7,24,13,30,1.84,0.0067,-999,-0.28228,-5.07327,1.11360226292874,0.203009,83.9678
2021,7,24,14,0,1.84,0.0067,-999,-0.0186336,-11.2659,0.890787853531917,0.228684,91.7543
2021,7,24,14,30,1.84,0.0067,-999,-0.204529,-12.8606,0.777602083330542,0.276571,84.9106
